Type	Collection	Document	Layer	Feature	Position	start_char	end_char	connective	Flags	Arianna	Mariachiara	Arianna	Mariachiara	check_yesno	check_sense	disagreement_type	example
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	269-274 [anche]	269	274	anche	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	783-787 [come]	783	787	come	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	830-835 [anche]	830	835	anche	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	865-869 [dopo]	865	869	dopo	DIFFERENCE, COMPLETE, USED	false	true	<no label>	TEMPORAL:Asynchronous	*	*	adv scope	Poco dopo la metà di inizio gennaio inizio la ricerca e sperimentazione per cure e vaccini specifici.
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	925-928 [per]	925	928	per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	934-935 [e]	934	935	e	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1195-1196 [e]	1195	1196	e	DIFFERENCE, COMPLETE, USED	true	false	EXPANSION:Conjunction	<no label>	*	*	conjoined VPs	Aeroporti e stazioni ferroviarie hanno effettuato controlli della temperatura corporea, rilasciato dichiarazioni sanitarie e pubblicato segnali di informazioni nel tentativo di identificare i vettori del virus.
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1283-1286 [Per]	1283	1286	Per	COMPLETE, USED	false	false	<no label>	<no label>				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1404-1410 [quando]	1404	1410	quando	COMPLETE, USED	true	true	TEMPORAL:Synchronous	TEMPORAL:Synchronous				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1581-1582 [e]	1581	1582	e	INCOMPLETE_POSITION, USED	true	<no annotation>	EXPANSION:Conjunction	<no annotation>	*	*	e + Contingency:Cause	e di conseguenza ci furono i primi decessi
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1583-1597 [di conseguenza]	1583	1597	di conseguenza	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1625-1631 [Quando]	1625	1631	Quando	COMPLETE, USED	true	true	TEMPORAL:Synchronous	TEMPORAL:Synchronous				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	1650-1651 [e]	1650	1651	e	COMPLETE, USED	true	true	EXPANSION:Conjunction	TEMPORAL:Asynchronous		*	specific	Quando i casi arrivarono e si svilupparono
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2004-2017 [a causa della]	2004	2017	a causa della	COMPLETE, USED	true	true	CONTINGENCY:Cause	CONTINGENCY:Cause				
SpanPosition	ITACA-Evaluation	AC20PA_BAZ14M.tsv	webanno.custom.Connettivo	Connettivo	2068-2069 [e]	2068	2069	e	COMPLETE, USED	false	false	<no label>	<no label>				
